"plantID","accession","treatment","experiment","meta.experiment","facility","variable","value","Gene_idGene","direction"
2976,"ECOTYPE-22623","osmocote","cofc-second","second","COFC-OGH","leaf.number",147,"","high"
2987,"SALK_017933C","osmocote","cofc-second","second","COFC-OGH","leaf.number",153,"AT3G62710","high"
3031,"SALK_050488C","osmocote","cofc-second","second","COFC-OGH","leaf.number",204,"AT5G59340","high"
3090,"SALK_134535C","osmocote","cofc-second","second","COFC-OGH","leaf.number",150,"AT2G01430","high"
