"plantID","accession","plantnum_experiment","parent_experiment","Parent1","Parent2","treatment","experiment","meta.experiment","facility"
68,"SALK_074274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
69,"SALK_074274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
70,"SALK_074274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
71,"SALK_074274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
72,"SALK_074274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
73,"SALK_074274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
74,"SALK_074274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
75,"SALK_074274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
76,"SALK_074274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
77,"SALK_074274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
78,"SALK_017933C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
79,"SALK_017933C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
80,"SALK_017933C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
81,"SALK_017933C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
82,"SALK_017933C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
83,"SALK_017933C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
84,"SALK_017933C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
85,"SALK_017933C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
86,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
87,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
88,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
89,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
90,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
91,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
92,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
93,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
94,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
95,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
96,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
97,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
98,"SALK_CS60000",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
99,"SALK_006054C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
100,"SALK_006054C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
101,"SALK_006054C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
102,"SALK_006054C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
103,"SALK_006054C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
104,"SALK_006054C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
105,"SALK_006054C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
106,"SALK_006054C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
107,"SALK_006054C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
108,"SALK_023712C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
109,"SALK_023712C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
110,"SALK_023712C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
111,"SALK_023712C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
112,"SALK_023712C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
114,"SALK_023712C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
115,"SALK_023712C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
116,"SALK_023712C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
117,"SALK_023712C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
118,"SALK_023712C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
119,"SALK_023712C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
120,"SALK_021006C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
121,"SALK_021006C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
122,"SALK_021006C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
123,"SALK_021006C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
124,"SALK_021006C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
125,"SALK_021006C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
126,"SALK_021006C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
127,"SALK_021006C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
128,"SALK_021006C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
129,"SALK_021006C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
130,"SALK_021006C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
131,"SALK_127261C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
132,"SALK_127261C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
133,"SALK_127261C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
134,"SALK_127261C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
135,"SALK_127261C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
136,"SALK_127261C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
137,"SALK_127261C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
