"plantID","accession","plantnum_experiment","parent_experiment","Parent1","Parent2","treatment","experiment","meta.experiment","facility"
11045,"SALK_024221C","11-C-3",NA,8250,8250,"control","1a2","1","COFC-GC2"
11046,"SALK_024221C","14-E-2",NA,8250,8250,"control","1a2","1","COFC-GC3"
11047,"SALK_024221C","24-F-2",NA,8250,8250,"control","1a2","1","COFC-GC4"
11048,"SALK_024222C","2-D-2",NA,8251,8251,"control","1a2","1","BC-GC5"
11049,"SALK_024222C","8-D-1",NA,8251,8251,"control","1a2","1","BC-GC6"
11050,"SALK_024222C","2-E-5",NA,8251,8251,"control","1a2","1","COFC-GC1"
11051,"SALK_024222C","11-B-1",NA,8251,8251,"control","1a2","1","COFC-GC2"
11052,"SALK_024222C","16-C-6",NA,8251,8251,"control","1a2","1","COFC-GC3"
11053,"SALK_024222C","21-C-4",NA,8251,8251,"control","1a2","1","COFC-GC4"
11054,"SALK_024228C","2-D-1",NA,8252,8252,"control","1a2","1","BC-GC5"
11055,"SALK_024228C","8-J-4",NA,8252,8252,"control","1a2","1","BC-GC6"
11056,"SALK_024228C","1-H-5",NA,8252,8252,"control","1a2","1","COFC-GC1"
11057,"SALK_024228C","12-D-5",NA,8252,8252,"control","1a2","1","COFC-GC2"
11058,"SALK_024228C","17-J-4",NA,8252,8252,"control","1a2","1","COFC-GC3"
11059,"SALK_024228C","24-B-1",NA,8252,8252,"control","1a2","1","COFC-GC4"
11060,"SALK_024241C","2-A-3",NA,8253,8253,"control","1a2","1","BC-GC5"
11061,"SALK_024241C","8-C-2",NA,8253,8253,"control","1a2","1","BC-GC6"
11062,"SALK_024241C","4-G-3",NA,8253,8253,"control","1a2","1","COFC-GC1"
11063,"SALK_024241C","11-G-4",NA,8253,8253,"control","1a2","1","COFC-GC2"
11064,"SALK_024241C","18-K-1",NA,8253,8253,"control","1a2","1","COFC-GC3"
11065,"SALK_024241C","20-C-5",NA,8253,8253,"control","1a2","1","COFC-GC4"
11066,"SALK_024320C","2-K-1",NA,8254,8254,"control","1a2","1","BC-GC5"
11067,"SALK_024320C","8-B-6",NA,8254,8254,"control","1a2","1","BC-GC6"
11068,"SALK_024320C","5-K-1",NA,8254,8254,"control","1a2","1","COFC-GC1"
11069,"SALK_024320C","8-J-3",NA,8254,8254,"control","1a2","1","COFC-GC2"
11070,"SALK_024320C","13-C-1",NA,8254,8254,"control","1a2","1","COFC-GC3"
11071,"SALK_024320C","24-K-4",NA,8254,8254,"control","1a2","1","COFC-GC4"
11072,"SALK_024323C","2-I-2",NA,8255,8255,"control","1a2","1","BC-GC5"
11073,"SALK_024323C","8-H-2",NA,8255,8255,"control","1a2","1","BC-GC6"
11074,"SALK_024323C","6-G-4",NA,8255,8255,"control","1a2","1","COFC-GC1"
11075,"SALK_024323C","12-J-1",NA,8255,8255,"control","1a2","1","COFC-GC2"
11076,"SALK_024323C","14-H-6",NA,8255,8255,"control","1a2","1","COFC-GC3"
11077,"SALK_024323C","19-K-6",NA,8255,8255,"control","1a2","1","COFC-GC4"
11078,"SALK_024428C","2-E-2",NA,6100,6100,"control","1a2","1","BC-GC5"
11079,"SALK_024428C","8-E-4",NA,6100,6100,"control","1a2","1","BC-GC6"
11080,"SALK_024428C","4-A-4",NA,6100,6100,"control","1a2","1","COFC-GC1"
11081,"SALK_024428C","8-E-4",NA,6100,6100,"control","1a2","1","COFC-GC2"
11082,"SALK_024428C","17-F-1",NA,6100,6100,"control","1a2","1","COFC-GC3"
11083,"SALK_024428C","22-K-3",NA,6100,6100,"control","1a2","1","COFC-GC4"
11084,"SALK_026864C","2-I-5",NA,6132,6132,"control","1a2","1","BC-GC5"
11085,"SALK_026864C","8-K-5",NA,6132,6132,"control","1a2","1","BC-GC6"
11086,"SALK_026864C","4-G-4",NA,6132,6132,"control","1a2","1","COFC-GC1"
11087,"SALK_026864C","12-I-6",NA,6132,6132,"control","1a2","1","COFC-GC2"
11088,"SALK_026864C","16-J-5",NA,6132,6132,"control","1a2","1","COFC-GC3"
11089,"SALK_026864C","20-C-2",NA,6132,6132,"control","1a2","1","COFC-GC4"
11090,"SALK_029496C","2-L-6",NA,6155,6155,"control","1a2","1","BC-GC5"
11091,"SALK_029496C","8-J-5",NA,6155,6155,"control","1a2","1","BC-GC6"
11092,"SALK_029496C","6-B-3",NA,6155,6155,"control","1a2","1","COFC-GC1"
11093,"SALK_029496C","7-G-1",NA,6155,6155,"control","1a2","1","COFC-GC2"
11094,"SALK_029496C","16-E-5",NA,6155,6155,"control","1a2","1","COFC-GC3"
11095,"SALK_029496C","20-I-6",NA,6155,6155,"control","1a2","1","COFC-GC4"
11096,"SALK_030083C","2-C-4",NA,8721,8721,"control","1a2","1","BC-GC5"
11097,"SALK_030083C","8-F-6",NA,8721,8721,"control","1a2","1","BC-GC6"
11098,"SALK_030083C","4-D-4",NA,8721,8721,"control","1a2","1","COFC-GC1"
11099,"SALK_030083C","7-L-2",NA,8721,8721,"control","1a2","1","COFC-GC2"
11100,"SALK_030083C","14-E-4",NA,8721,8721,"control","1a2","1","COFC-GC3"
11101,"SALK_030083C","24-J-2",NA,8721,8721,"control","1a2","1","COFC-GC4"
11102,"SALK_033085C","2-A-1",NA,8725,8725,"control","1a2","1","BC-GC5"
11103,"SALK_033085C","8-E-2",NA,8725,8725,"control","1a2","1","BC-GC6"
11104,"SALK_033085C","6-K-4",NA,8725,8725,"control","1a2","1","COFC-GC1"
11105,"SALK_033085C","12-F-6",NA,8725,8725,"control","1a2","1","COFC-GC2"
11106,"SALK_033085C","17-K-2",NA,8725,8725,"control","1a2","1","COFC-GC3"
11107,"SALK_033085C","21-F-2",NA,8725,8725,"control","1a2","1","COFC-GC4"
11108,"SALK_033233C","2-G-1",NA,8726,8726,"control","1a2","1","BC-GC5"
11109,"SALK_033233C","8-J-2",NA,8726,8726,"control","1a2","1","BC-GC6"
11110,"SALK_033233C","5-L-5",NA,8726,8726,"control","1a2","1","COFC-GC1"
11111,"SALK_033233C","11-B-5",NA,8726,8726,"control","1a2","1","COFC-GC2"
11112,"SALK_033233C","18-H-1",NA,8726,8726,"control","1a2","1","COFC-GC3"
11113,"SALK_033233C","23-D-3",NA,8726,8726,"control","1a2","1","COFC-GC4"
11114,"SALK_036154C","2-D-3",NA,6216,6216,"control","1a2","1","BC-GC5"
11115,"SALK_036154C","8-E-1",NA,6216,6216,"control","1a2","1","BC-GC6"
11116,"SALK_036154C","3-A-4",NA,6216,6216,"control","1a2","1","COFC-GC1"
11117,"SALK_036154C","8-C-5",NA,6216,6216,"control","1a2","1","COFC-GC2"
11118,"SALK_036154C","13-D-1",NA,6216,6216,"control","1a2","1","COFC-GC3"
11119,"SALK_036154C","20-C-4",NA,6216,6216,"control","1a2","1","COFC-GC4"
11120,"SALK_037642C","2-B-3",NA,8729,8729,"control","1a2","1","BC-GC5"
11121,"SALK_037642C","8-A-1",NA,8729,8729,"control","1a2","1","BC-GC6"
11122,"SALK_037642C","4-G-1",NA,8729,8729,"control","1a2","1","COFC-GC1"
11123,"SALK_037642C","9-L-5",NA,8729,8729,"control","1a2","1","COFC-GC2"
11124,"SALK_037642C","16-J-2",NA,8729,8729,"control","1a2","1","COFC-GC3"
11125,"SALK_037642C","20-A-3",NA,8729,8729,"control","1a2","1","COFC-GC4"
11126,"SALK_038360C","2-E-5",NA,6264,6264,"control","1a2","1","BC-GC5"
11127,"SALK_038360C","8-F-2",NA,6264,6264,"control","1a2","1","BC-GC6"
11128,"SALK_038360C","6-F-5",NA,6264,6264,"control","1a2","1","COFC-GC1"
11129,"SALK_038360C","8-G-3",NA,6264,6264,"control","1a2","1","COFC-GC2"
11130,"SALK_038360C","13-D-4",NA,6264,6264,"control","1a2","1","COFC-GC3"
11131,"SALK_038360C","22-I-2",NA,6264,6264,"control","1a2","1","COFC-GC4"
11132,"SALK_039302C","2-L-1",NA,8731,8731,"control","1a2","1","BC-GC5"
11133,"SALK_039302C","8-G-2",NA,8731,8731,"control","1a2","1","BC-GC6"
11134,"SALK_039302C","5-J-1",NA,8731,8731,"control","1a2","1","COFC-GC1"
11135,"SALK_039302C","8-I-2",NA,8731,8731,"control","1a2","1","COFC-GC2"
11136,"SALK_039302C","18-I-4",NA,8731,8731,"control","1a2","1","COFC-GC3"
11137,"SALK_039302C","23-F-5",NA,8731,8731,"control","1a2","1","COFC-GC4"
11138,"SALK_039361C","2-H-5",NA,6282,6282,"control","1a2","1","BC-GC5"
11139,"SALK_039361C","8-A-2",NA,6282,6282,"control","1a2","1","BC-GC6"
11140,"SALK_039361C","2-C-5",NA,6282,6282,"control","1a2","1","COFC-GC1"
11141,"SALK_039361C","7-H-1",NA,6282,6282,"control","1a2","1","COFC-GC2"
11142,"SALK_039361C","16-H-4",NA,6282,6282,"control","1a2","1","COFC-GC3"
11143,"SALK_039361C","20-B-6",NA,6282,6282,"control","1a2","1","COFC-GC4"
11144,"SALK_039436C","2-C-5",NA,6285,6285,"control","1a2","1","BC-GC5"
11145,"SALK_039436C","8-D-6",NA,6285,6285,"control","1a2","1","BC-GC6"
11146,"SALK_039436C","6-B-1",NA,6285,6285,"control","1a2","1","COFC-GC1"
11147,"SALK_039436C","7-K-1",NA,6285,6285,"control","1a2","1","COFC-GC2"
11148,"SALK_039436C","15-B-4",NA,6285,6285,"control","1a2","1","COFC-GC3"
11149,"SALK_039436C","19-D-1",NA,6285,6285,"control","1a2","1","COFC-GC4"
11150,"SALK_039456C","2-E-4",NA,6287,6287,"control","1a2","1","BC-GC5"
11151,"SALK_039456C","8-L-6",NA,6287,6287,"control","1a2","1","BC-GC6"
11152,"SALK_039456C","2-A-3",NA,6287,6287,"control","1a2","1","COFC-GC1"
11153,"SALK_039456C","11-K-4",NA,6287,6287,"control","1a2","1","COFC-GC2"
11154,"SALK_039456C","16-L-1",NA,6287,6287,"control","1a2","1","COFC-GC3"
11155,"SALK_039456C","21-I-3",NA,6287,6287,"control","1a2","1","COFC-GC4"
11156,"SALK_039478C","2-C-2",NA,6289,6289,"control","1a2","1","BC-GC5"
11157,"SALK_039478C","8-G-1",NA,6289,6289,"control","1a2","1","BC-GC6"
11158,"SALK_039478C","2-B-1",NA,6289,6289,"control","1a2","1","COFC-GC1"
11159,"SALK_039478C","12-B-6",NA,6289,6289,"control","1a2","1","COFC-GC2"
11160,"SALK_039478C","15-L-4",NA,6289,6289,"control","1a2","1","COFC-GC3"
11161,"SALK_039478C","24-F-3",NA,6289,6289,"control","1a2","1","COFC-GC4"
11162,"SALK_042113C","2-B-6",NA,8737,8737,"control","1a2","1","BC-GC5"
11163,"SALK_042113C","8-L-1",NA,8737,8737,"control","1a2","1","BC-GC6"
11164,"SALK_042113C","6-C-6",NA,8737,8737,"control","1a2","1","COFC-GC1"
11165,"SALK_042113C","7-C-5",NA,8737,8737,"control","1a2","1","COFC-GC2"
11166,"SALK_042113C","17-C-3",NA,8737,8737,"control","1a2","1","COFC-GC3"
11167,"SALK_042113C","24-I-1",NA,8737,8737,"control","1a2","1","COFC-GC4"
11168,"SALK_042719C","2-K-6",NA,6324,6324,"control","1a2","1","BC-GC5"
11169,"SALK_042719C","8-K-1",NA,6324,6324,"control","1a2","1","BC-GC6"
11170,"SALK_042719C","4-B-1",NA,6324,6324,"control","1a2","1","COFC-GC1"
11171,"SALK_042719C","12-B-5",NA,6324,6324,"control","1a2","1","COFC-GC2"
11172,"SALK_042719C","15-J-5",NA,6324,6324,"control","1a2","1","COFC-GC3"
11173,"SALK_042719C","22-L-1",NA,6324,6324,"control","1a2","1","COFC-GC4"
11174,"SALK_044022C","2-A-6",NA,6336,6336,"control","1a2","1","BC-GC5"
11175,"SALK_044022C","8-K-2",NA,6336,6336,"control","1a2","1","BC-GC6"
11176,"SALK_044022C","5-I-6",NA,6336,6336,"control","1a2","1","COFC-GC1"
11177,"SALK_044022C","9-I-6",NA,6336,6336,"control","1a2","1","COFC-GC2"
11178,"SALK_044022C","14-G-6",NA,6336,6336,"control","1a2","1","COFC-GC3"
11179,"SALK_044022C","23-C-4",NA,6336,6336,"control","1a2","1","COFC-GC4"
11180,"SALK_044330C","2-J-6",NA,8739,8739,"control","1a2","1","BC-GC5"
11181,"SALK_044330C","8-J-3",NA,8739,8739,"control","1a2","1","BC-GC6"
11182,"SALK_044330C","1-C-6",NA,8739,8739,"control","1a2","1","COFC-GC1"
11183,"SALK_044330C","10-C-4",NA,8739,8739,"control","1a2","1","COFC-GC2"
11184,"SALK_044330C","13-G-4",NA,8739,8739,"control","1a2","1","COFC-GC3"
11185,"SALK_044330C","24-J-1",NA,8739,8739,"control","1a2","1","COFC-GC4"
11186,"SALK_045463C","2-K-2",NA,6359,6359,"control","1a2","1","BC-GC5"
11187,"SALK_045463C","8-F-3",NA,6359,6359,"control","1a2","1","BC-GC6"
11188,"SALK_045463C","2-H-4",NA,6359,6359,"control","1a2","1","COFC-GC1"
11189,"SALK_045463C","11-K-1",NA,6359,6359,"control","1a2","1","COFC-GC2"
11190,"SALK_045463C","13-K-1",NA,6359,6359,"control","1a2","1","COFC-GC3"
11191,"SALK_045463C","24-L-6",NA,6359,6359,"control","1a2","1","COFC-GC4"
11192,"SALK_045608C","2-H-4",NA,6363,6363,"control","1a2","1","BC-GC5"
11193,"SALK_045608C","8-L-5",NA,6363,6363,"control","1a2","1","BC-GC6"
11194,"SALK_045608C","5-F-4",NA,6363,6363,"control","1a2","1","COFC-GC1"
11195,"SALK_045608C","8-L-6",NA,6363,6363,"control","1a2","1","COFC-GC2"
11196,"SALK_045608C","18-H-6",NA,6363,6363,"control","1a2","1","COFC-GC3"
11197,"SALK_045608C","22-A-1",NA,6363,6363,"control","1a2","1","COFC-GC4"
11198,"SALK_046284C","2-F-5",NA,6375,6375,"control","1a2","1","BC-GC5"
11199,"SALK_046284C","8-A-4",NA,6375,6375,"control","1a2","1","BC-GC6"
11200,"SALK_046284C","2-I-2",NA,6375,6375,"control","1a2","1","COFC-GC1"
11201,"SALK_046284C","11-E-2",NA,6375,6375,"control","1a2","1","COFC-GC2"
11202,"SALK_046284C","13-K-3",NA,6375,6375,"control","1a2","1","COFC-GC3"
11203,"SALK_046284C","21-A-1",NA,6375,6375,"control","1a2","1","COFC-GC4"
11204,"SALK_047135C","2-D-5",NA,8257,8257,"control","1a2","1","BC-GC5"
11205,"SALK_047135C","8-F-4",NA,8257,8257,"control","1a2","1","BC-GC6"
11206,"SALK_047135C","2-E-2",NA,8257,8257,"control","1a2","1","COFC-GC1"
11207,"SALK_047135C","12-A-6",NA,8257,8257,"control","1a2","1","COFC-GC2"
11208,"SALK_047135C","17-H-4",NA,8257,8257,"control","1a2","1","COFC-GC3"
11209,"SALK_047135C","23-G-6",NA,8257,8257,"control","1a2","1","COFC-GC4"
11210,"SALK_047150C","2-F-1",NA,8258,8258,"control","1a2","1","BC-GC5"
11211,"SALK_047150C","8-J-1",NA,8258,8258,"control","1a2","1","BC-GC6"
11212,"SALK_047150C","6-L-1",NA,8258,8258,"control","1a2","1","COFC-GC1"
11213,"SALK_047150C","11-K-2",NA,8258,8258,"control","1a2","1","COFC-GC2"
11214,"SALK_047150C","14-J-4",NA,8258,8258,"control","1a2","1","COFC-GC3"
11215,"SALK_047150C","21-B-3",NA,8258,8258,"control","1a2","1","COFC-GC4"
11216,"SALK_047258C","2-K-3",NA,8260,8260,"control","1a2","1","BC-GC5"
11217,"SALK_047258C","8-I-3",NA,8260,8260,"control","1a2","1","BC-GC6"
11218,"SALK_047258C","6-E-5",NA,8260,8260,"control","1a2","1","COFC-GC1"
11219,"SALK_047258C","10-L-6",NA,8260,8260,"control","1a2","1","COFC-GC2"
11220,"SALK_047258C","18-K-4",NA,8260,8260,"control","1a2","1","COFC-GC3"
11221,"SALK_047258C","24-B-6",NA,8260,8260,"control","1a2","1","COFC-GC4"
11222,"SALK_047287C","2-A-4",NA,8261,8261,"control","1a2","1","BC-GC5"
11223,"SALK_047287C","8-H-4",NA,8261,8261,"control","1a2","1","BC-GC6"
11224,"SALK_047287C","6-L-2",NA,8261,8261,"control","1a2","1","COFC-GC1"
11225,"SALK_047287C","8-A-6",NA,8261,8261,"control","1a2","1","COFC-GC2"
11226,"SALK_047287C","13-I-1",NA,8261,8261,"control","1a2","1","COFC-GC3"
11227,"SALK_047287C","23-D-1",NA,8261,8261,"control","1a2","1","COFC-GC4"
11228,"SALK_047327C","2-G-4",NA,8262,8262,"control","1a2","1","BC-GC5"
11229,"SALK_047327C","8-I-4",NA,8262,8262,"control","1a2","1","BC-GC6"
11230,"SALK_047327C","3-E-1",NA,8262,8262,"control","1a2","1","COFC-GC1"
11231,"SALK_047327C","8-F-3",NA,8262,8262,"control","1a2","1","COFC-GC2"
11232,"SALK_047327C","14-C-6",NA,8262,8262,"control","1a2","1","COFC-GC3"
11233,"SALK_047327C","21-G-5",NA,8262,8262,"control","1a2","1","COFC-GC4"
11234,"SALK_047421C","2-L-5",NA,8266,8266,"control","1a2","1","BC-GC5"
11235,"SALK_047421C","8-G-5",NA,8266,8266,"control","1a2","1","BC-GC6"
11236,"SALK_047421C","4-D-3",NA,8266,8266,"control","1a2","1","COFC-GC1"
11237,"SALK_047421C","7-F-6",NA,8266,8266,"control","1a2","1","COFC-GC2"
11238,"SALK_047421C","16-G-1",NA,8266,8266,"control","1a2","1","COFC-GC3"
11239,"SALK_047421C","24-A-3",NA,8266,8266,"control","1a2","1","COFC-GC4"
11240,"SALK_047422C","2-F-3",NA,8267,8267,"control","1a2","1","BC-GC5"
11241,"SALK_047422C","8-D-3",NA,8267,8267,"control","1a2","1","BC-GC6"
11242,"SALK_047422C","4-C-6",NA,8267,8267,"control","1a2","1","COFC-GC1"
11243,"SALK_047422C","7-K-6",NA,8267,8267,"control","1a2","1","COFC-GC2"
11244,"SALK_047422C","15-F-2",NA,8267,8267,"control","1a2","1","COFC-GC3"
11245,"SALK_047422C","23-K-1",NA,8267,8267,"control","1a2","1","COFC-GC4"
11246,"SALK_047427C","2-A-2",NA,8268,8268,"control","1a2","1","BC-GC5"
11247,"SALK_047427C","8-H-6",NA,8268,8268,"control","1a2","1","BC-GC6"
11248,"SALK_047427C","6-E-2",NA,8268,8268,"control","1a2","1","COFC-GC1"
11249,"SALK_047427C","12-L-6",NA,8268,8268,"control","1a2","1","COFC-GC2"
11250,"SALK_047427C","18-D-3",NA,8268,8268,"control","1a2","1","COFC-GC3"
11251,"SALK_047427C","20-I-3",NA,8268,8268,"control","1a2","1","COFC-GC4"
11252,"SALK_047439C","2-C-1",NA,8270,8270,"control","1a2","1","BC-GC5"
11253,"SALK_047439C","8-F-1",NA,8270,8270,"control","1a2","1","BC-GC6"
11254,"SALK_047439C","1-E-4",NA,8270,8270,"control","1a2","1","COFC-GC1"
11255,"SALK_047439C","10-L-4",NA,8270,8270,"control","1a2","1","COFC-GC2"
11256,"SALK_047439C","16-F-3",NA,8270,8270,"control","1a2","1","COFC-GC3"
11257,"SALK_047439C","19-H-3",NA,8270,8270,"control","1a2","1","COFC-GC4"
11258,"SALK_047444C","2-J-2",NA,8271,8271,"control","1a2","1","BC-GC5"
11259,"SALK_047444C","8-B-4",NA,8271,8271,"control","1a2","1","BC-GC6"
11260,"SALK_047444C","5-D-4",NA,8271,8271,"control","1a2","1","COFC-GC1"
11261,"SALK_047444C","12-L-5",NA,8271,8271,"control","1a2","1","COFC-GC2"
11262,"SALK_047444C","16-I-3",NA,8271,8271,"control","1a2","1","COFC-GC3"
11263,"SALK_047444C","22-D-5",NA,8271,8271,"control","1a2","1","COFC-GC4"
11264,"SALK_047449C","2-J-1",NA,8272,8272,"control","1a2","1","BC-GC5"
11265,"SALK_047449C","8-I-5",NA,8272,8272,"control","1a2","1","BC-GC6"
11266,"SALK_047449C","3-F-6",NA,8272,8272,"control","1a2","1","COFC-GC1"
11267,"SALK_047449C","12-F-3",NA,8272,8272,"control","1a2","1","COFC-GC2"
11268,"SALK_047449C","14-H-2",NA,8272,8272,"control","1a2","1","COFC-GC3"
11269,"SALK_047449C","20-K-5",NA,8272,8272,"control","1a2","1","COFC-GC4"
11270,"SALK_047537C","2-E-6",NA,8275,8275,"control","1a2","1","BC-GC5"
11271,"SALK_047537C","8-A-6",NA,8275,8275,"control","1a2","1","BC-GC6"
11272,"SALK_047537C","2-L-3",NA,8275,8275,"control","1a2","1","COFC-GC1"
11273,"SALK_047537C","11-E-6",NA,8275,8275,"control","1a2","1","COFC-GC2"
11274,"SALK_047537C","15-I-3",NA,8275,8275,"control","1a2","1","COFC-GC3"
11275,"SALK_047537C","19-L-6",NA,8275,8275,"control","1a2","1","COFC-GC4"
11276,"SALK_047578C","2-B-5",NA,8277,8277,"control","1a2","1","BC-GC5"
11277,"SALK_047578C","8-A-5",NA,8277,8277,"control","1a2","1","BC-GC6"
11278,"SALK_047578C","2-I-5",NA,8277,8277,"control","1a2","1","COFC-GC1"
11279,"SALK_047578C","11-F-4",NA,8277,8277,"control","1a2","1","COFC-GC2"
11280,"SALK_047578C","16-K-4",NA,8277,8277,"control","1a2","1","COFC-GC3"
11281,"SALK_047578C","20-F-3",NA,8277,8277,"control","1a2","1","COFC-GC4"
11282,"SALK_047587C","2-A-5",NA,8278,8278,"control","1a2","1","BC-GC5"
11283,"SALK_047587C","8-G-6",NA,8278,8278,"control","1a2","1","BC-GC6"
11284,"SALK_047587C","1-F-3",NA,8278,8278,"control","1a2","1","COFC-GC1"
11285,"SALK_047587C","12-E-2",NA,8278,8278,"control","1a2","1","COFC-GC2"
11286,"SALK_047587C","17-I-2",NA,8278,8278,"control","1a2","1","COFC-GC3"
11287,"SALK_047587C","24-H-2",NA,8278,8278,"control","1a2","1","COFC-GC4"
11288,"SALK_047702C","2-D-6",NA,8279,8279,"control","1a2","1","BC-GC5"
11289,"SALK_047702C","8-C-1",NA,8279,8279,"control","1a2","1","BC-GC6"
11290,"SALK_047702C","3-G-2",NA,8279,8279,"control","1a2","1","COFC-GC1"
11291,"SALK_047702C","7-D-4",NA,8279,8279,"control","1a2","1","COFC-GC2"
11292,"SALK_047702C","14-C-4",NA,8279,8279,"control","1a2","1","COFC-GC3"
11293,"SALK_047702C","21-L-4",NA,8279,8279,"control","1a2","1","COFC-GC4"
11294,"SALK_047708C","2-H-1",NA,8280,8280,"control","1a2","1","BC-GC5"
11295,"SALK_047708C","8-J-6",NA,8280,8280,"control","1a2","1","BC-GC6"
11296,"SALK_047708C","6-C-5",NA,8280,8280,"control","1a2","1","COFC-GC1"
11297,"SALK_047708C","12-C-4",NA,8280,8280,"control","1a2","1","COFC-GC2"
11298,"SALK_047708C","16-D-1",NA,8280,8280,"control","1a2","1","COFC-GC3"
11299,"SALK_047708C","23-A-2",NA,8280,8280,"control","1a2","1","COFC-GC4"
11300,"SALK_047716C","2-E-3",NA,8281,8281,"control","1a2","1","BC-GC5"
11301,"SALK_047716C","8-E-3",NA,8281,8281,"control","1a2","1","BC-GC6"
11302,"SALK_047716C","1-E-5",NA,8281,8281,"control","1a2","1","COFC-GC1"
11303,"SALK_047716C","8-K-2",NA,8281,8281,"control","1a2","1","COFC-GC2"
11304,"SALK_047716C","17-B-4",NA,8281,8281,"control","1a2","1","COFC-GC3"
11305,"SALK_047716C","22-D-4",NA,8281,8281,"control","1a2","1","COFC-GC4"
11306,"SALK_047804C","2-J-5",NA,8287,8287,"control","1a2","1","BC-GC5"
11307,"SALK_047804C","8-H-5",NA,8287,8287,"control","1a2","1","BC-GC6"
11308,"SALK_047804C","1-K-1",NA,8287,8287,"control","1a2","1","COFC-GC1"
11309,"SALK_047804C","11-A-3",NA,8287,8287,"control","1a2","1","COFC-GC2"
11310,"SALK_047804C","18-L-3",NA,8287,8287,"control","1a2","1","COFC-GC3"
11311,"SALK_047804C","20-H-2",NA,8287,8287,"control","1a2","1","COFC-GC4"
11312,"SALK_047808C","2-F-2",NA,8288,8288,"control","1a2","1","BC-GC5"
11313,"SALK_047808C","8-B-5",NA,8288,8288,"control","1a2","1","BC-GC6"
11314,"SALK_047808C","2-B-3",NA,8288,8288,"control","1a2","1","COFC-GC1"
11315,"SALK_047808C","10-F-4",NA,8288,8288,"control","1a2","1","COFC-GC2"
11316,"SALK_047808C","14-I-1",NA,8288,8288,"control","1a2","1","COFC-GC3"
11317,"SALK_047808C","22-K-2",NA,8288,8288,"control","1a2","1","COFC-GC4"
11318,"SALK_047822C","2-L-3",NA,8289,8289,"control","1a2","1","BC-GC5"
11319,"SALK_047822C","8-I-6",NA,8289,8289,"control","1a2","1","BC-GC6"
11320,"SALK_047822C","1-K-2",NA,8289,8289,"control","1a2","1","COFC-GC1"
11321,"SALK_047822C","7-E-1",NA,8289,8289,"control","1a2","1","COFC-GC2"
11322,"SALK_047822C","18-K-6",NA,8289,8289,"control","1a2","1","COFC-GC3"
11323,"SALK_047822C","19-I-1",NA,8289,8289,"control","1a2","1","COFC-GC4"
11324,"SALK_047847C","2-J-3",NA,8290,8290,"control","1a2","1","BC-GC5"
11325,"SALK_047847C","8-K-3",NA,8290,8290,"control","1a2","1","BC-GC6"
11326,"SALK_047847C","6-H-3",NA,8290,8290,"control","1a2","1","COFC-GC1"
11327,"SALK_047847C","11-K-6",NA,8290,8290,"control","1a2","1","COFC-GC2"
11328,"SALK_047847C","15-L-1",NA,8290,8290,"control","1a2","1","COFC-GC3"
11329,"SALK_047847C","24-J-4",NA,8290,8290,"control","1a2","1","COFC-GC4"
11330,"SALK_047862C","2-K-5",NA,8291,8291,"control","1a2","1","BC-GC5"
11331,"SALK_047862C","8-C-5",NA,8291,8291,"control","1a2","1","BC-GC6"
11332,"SALK_047862C","2-C-3",NA,8291,8291,"control","1a2","1","COFC-GC1"
11333,"SALK_047862C","12-H-1",NA,8291,8291,"control","1a2","1","COFC-GC2"
11334,"SALK_047862C","13-A-2",NA,8291,8291,"control","1a2","1","COFC-GC3"
11335,"SALK_047862C","24-H-3",NA,8291,8291,"control","1a2","1","COFC-GC4"
11336,"SALK_047922C","2-G-6",NA,8293,8293,"control","1a2","1","BC-GC5"
11337,"SALK_047922C","8-C-6",NA,8293,8293,"control","1a2","1","BC-GC6"
11338,"SALK_047922C","6-E-6",NA,8293,8293,"control","1a2","1","COFC-GC1"
11339,"SALK_047922C","11-F-1",NA,8293,8293,"control","1a2","1","COFC-GC2"
11340,"SALK_047922C","17-A-3",NA,8293,8293,"control","1a2","1","COFC-GC3"
11341,"SALK_047922C","22-C-6",NA,8293,8293,"control","1a2","1","COFC-GC4"
11342,"SALK_047929C","2-K-4",NA,8294,8294,"control","1a2","1","BC-GC5"
11343,"SALK_047929C","8-G-4",NA,8294,8294,"control","1a2","1","BC-GC6"
11344,"SALK_047929C","5-E-5",NA,8294,8294,"control","1a2","1","COFC-GC1"
11345,"SALK_047929C","7-D-5",NA,8294,8294,"control","1a2","1","COFC-GC2"
11346,"SALK_047929C","13-B-6",NA,8294,8294,"control","1a2","1","COFC-GC3"
11347,"SALK_047929C","20-B-5",NA,8294,8294,"control","1a2","1","COFC-GC4"
11348,"SALK_047933C","2-F-4",NA,8295,8295,"control","1a2","1","BC-GC5"
11349,"SALK_047933C","8-H-1",NA,8295,8295,"control","1a2","1","BC-GC6"
11350,"SALK_047933C","4-C-2",NA,8295,8295,"control","1a2","1","COFC-GC1"
11351,"SALK_047933C","9-B-1",NA,8295,8295,"control","1a2","1","COFC-GC2"
11352,"SALK_047933C","17-D-5",NA,8295,8295,"control","1a2","1","COFC-GC3"
11353,"SALK_047933C","19-A-2",NA,8295,8295,"control","1a2","1","COFC-GC4"
11354,"SALK_047963C","2-I-4",NA,8297,8297,"control","1a2","1","BC-GC5"
11355,"SALK_047963C","8-F-5",NA,8297,8297,"control","1a2","1","BC-GC6"
11356,"SALK_047963C","1-K-6",NA,8297,8297,"control","1a2","1","COFC-GC1"
